Pt1	Int32	String	Text	StringEnum	Int32	StringEnum	String	String	Int32	String	Int32	Int32	Int32	String	Int32	Int32	Char
	No	Empresa	UEB/OC	Provincia	UEB Alimatic	Sist. Cont	Migración	Nómina	C	Real	Plan	ADSL	PAP	Aumento	Maq Env	PLC	S
	3	Bebidas Pinar del Río	Vinos “El Valle”	Pinar del Río	0	Sicema SQL		SQL	5				1	0			G
	66	Lácteos Camaguey	Combinado Lácteo Camagüey	Camaguey	0	Sicema SQL		Negación	6				1	0			G
	66	Lácteos Camaguey	Fca Quesos La Vaquita	Camaguey	0	Sicema SQL		Negación	6				1	0			G
	66	Lácteos Camaguey	Fca. de leche en polvo	Camaguey	0	Sicema SQL		Negación	6	128		1		-128			G
	66	Lácteos Camaguey	Pasteurizadora Nuevitas	Camaguey	0	Sicema SQL		Negación	6				1	0			G
	66	Lácteos Camaguey	Fca. Queso Taino	Camaguey	0	Sicema SQL		Negación	6				1	0			G
	66	Lácteos Camaguey	Fca. Queso Sibanicú	Camaguey	0	Sicema SQL		Negación	6				1	0			G
	66	Lácteos Camaguey	Combinado Florida	Camaguey	0	Sicema SQL		Negación	6				1	0			G
	66	Lácteos Camaguey	Combinado Guarina	Camaguey	0	Sicema SQL		Negación	6				1	0			G
	66	Lácteos Camaguey	Centro de Acopio y Distribución Caribe	Camaguey	0	Sicema SQL		Negación	6				1	0			G
	66	Lácteos Camaguey	Centro de Acopio y Enfriamiento de Jimaguayú	Camaguey	0	Sicema SQL		Negación	6				1	0			G
	66	Lácteos Camaguey	Centro de Acopio y Enfriamiento Vertientes	Camaguey	0	Sicema SQL		Negación	6				1	0			G
	66	Lácteos Camaguey	Centro de Acopio y Enfriamiento Esmeralda	Camaguey	0	Sicema SQL		Negación	6				1	0			G
	66	Lácteos Camaguey	Fábrica de Helados Coppelia	Camaguey	0	Sicema SQL		Negación	6				1	0			G
	66	Lácteos Camaguey	Taller Automotor Central	Camaguey	0	Sicema SQL		Negación	6				1	0			G
	66	Lácteos Camaguey	Taller de Mantenimiento Fabril	Camaguey	0	Sicema SQL		Negación	6				1	0			G
	67	Bebidas Camaguey	Oficina Central	Camaguey	0	Sicema SQL		SQL	5	512		1		-512			G
	66	Lácteos Camaguey	Centro de  Acopio y Distribución Cuatro Caminos	Camaguey	0	Sicema SQL		Negación	6				1	0			G
	66	Lácteos Camaguey	Oficina Central	Camaguey	0	Sicema SQL		Negación	6	1024		1		-1024			G
	65	Cárnica Camaguey	Empacadora Tomás Rojas Rodríguez	Camaguey	0	Sicema SQL		SQL	5				1	0			G
	65	Cárnica Camaguey	Matadero Mártires de Esmeralda	Camaguey	0	Sicema SQL		SQL	5				1	0			G
	62	Bebidas Ciego de Ávila	Vinagre “La Espirituana”	Sancti Spíritus	0	Sicema SQL		SQL	5				1	0			G
	63	EPIVILA	Oficina Central	Ciego de Ávila	0	Sicema SQL	01/04/2017	SQL	5	128		1		-128			G
	63	EPIVILA	Turiguanó	Ciego de Ávila	0	Sicema SQL	01/04/2017	SQL	5					0			G
	63	EPIVILA	Júcaro	Ciego de Ávila	0	Sicema SQL	01/04/2017	SQL	5		64			64			G
	63	EPIVILA	Punta Alegre	Ciego de Ávila	0	Sicema SQL	01/04/2017	SQL	5		64			64			G
	64	PESCAVILA	Oficina Central	Ciego de Ávila	0	Siscomip	01/07/2017	SQL	5	128		1		-128			G
	64	PESCAVILA	Provevila	Ciego de Ávila	0	Siscomip	01/07/2017	SQL	5					0			G
	64	PESCAVILA	Las Margaritas	Ciego de Ávila	0	Siscomip	01/07/2017	SQL	5					0			G
	64	PESCAVILA	Florencia	Ciego de Ávila	0	Siscomip	01/07/2017	SQL	5					0			G
	64	PESCAVILA	Alevinaje Morón	Ciego de Ávila	0	Siscomip	01/07/2017	SQL	5					0			G
	64	PESCAVILA	Procesadora Industrial Morón	Ciego de Ávila	0	Siscomip	01/07/2017	SQL	5					0			G
	64	PESCAVILA	Bolivia	Ciego de Ávila	0	Siscomip	01/07/2017	SQL	5					0			G
	65	Cárnica Camaguey	Oficina Central	Camaguey	0	Sicema SQL		SQL	5	128	512	1		384			G
	65	Cárnica Camaguey	Empacadora Raúl Cepero Bonilla	Camaguey	0	Sicema SQL		SQL	5				1	0			G
